scheme_code,scheme_name,fund_type,risk_tier,amc,return_1y,return_3y,volatility,latest_nav,latest_nav_date
118387,Bandhan Gilt Fund with 10 year constant duration Fund - Direct Plan - Growth,Debt,moderate,Bandhan Mutual Fund,6.44,8.21,3.42,49.5803,2026-08-11
151045,HSBC Credit Risk Fund - Direct Growth,Debt,moderate,HSBC Mutual Fund,6.69,11.86,0.87,37.6387,2026-08-11
134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,Debt,moderate,Aditya Birla Sun Life Mutual Fund,13.16,13.28,3.61,28.0585,2026-08-11
133488,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option,Debt,moderate,Baroda BNP Paribas Mutual Fund,7.15,8.4,0.88,26.4004,2026-08-11
148101,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan - Growth Plan,Debt,moderate,Nippon India Mutual Fund,340.03,,301.43,0.5342,2022-01-27
148333,Baroda BNP Paribas Credit Risk Fund- Direct- Growth Option- Segregated Portfolio- 1,Debt,moderate,Baroda BNP Paribas Mutual Fund,,,,0.0,2026-08-11
120711,ICICI Prudential Credit Risk Fund - Direct Plan - Growth,Debt,moderate,ICICI Prudential Mutual Fund,9.02,9.22,1.32,38.5956,2026-08-11
128051,HDFC Credit Risk Debt Fund - Growth Option - Direct Plan,Debt,moderate,HDFC Mutual Fund,7.83,8.38,1.15,28.2863,2026-08-11
143783,Mirae Asset Healthcare Fund Direct Growth,Equity,aggressive,Mirae Asset Mutual Fund,22.35,23.51,13.09,51.966,2026-08-11
144905,Shriram Flexi Cap Fund - Direct Growth,Equity,aggressive,Shriram Mutual Fund,3.24,10.18,13.39,23.1206,2026-08-11
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Equity,aggressive,Nippon India Mutual Fund,7.83,17.35,14.47,1655.3448,2026-08-11
149450,Samco Flexi Cap Fund - Direct Plan - Growth Option,Equity,aggressive,Samco Mutual Fund,-1.12,-0.65,15.91,10.59,2026-08-11
147306,DSP Quant Fund - Direct Plan - Growth,Equity,aggressive,DSP Mutual Fund,5.34,8.97,13.65,23.008,2026-08-11
152760,Motilal Oswal Manufacturing Fund - Direct Plan- Growth,Equity,aggressive,Motilal Oswal Mutual Fund,9.22,,16.18,12.0913,2026-08-11
151113,HSBC Value Fund - Direct Growth,Equity,aggressive,HSBC Mutual Fund,7.44,18.82,14.75,130.4165,2026-08-11
152107,QUANTUM SMALL CAP FUND - DIRECT PLAN GROWTH OPTION,Equity,aggressive,Quantum Mutual Fund,12.76,,15.73,14.32,2026-08-11
150571,Sundaram Flexicap Fund Direct Growth,Equity,aggressive,Sundaram Mutual Fund,0.91,11.36,13.85,15.5363,2026-08-11
152694,Motilal Oswal Quant Fund - Direct - Growth,Equity,aggressive,Motilal Oswal Mutual Fund,5.65,,16.47,10.775,2026-08-11
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,Equity,aggressive,Bajaj Finserv Mutual Fund,14.45,,14.98,12.583,2026-08-11
151478,SBI Dividend Yield Fund - Direct Plan - Growth,Equity,aggressive,SBI Mutual Fund,9.49,13.49,11.67,16.5236,2026-08-11
144546,Tata Flexi Cap Fund-Direct Plan-Growth,Equity,aggressive,Tata Mutual Fund,2.46,12.31,13.05,27.0237,2026-08-11
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,Equity,aggressive,Aditya Birla Sun Life Mutual Fund,16.94,19.5,15.56,121.03,2026-08-11
152600,HDFC Manufacturing fund - Growth Option - Direct Plan,Equity,aggressive,HDFC Mutual Fund,15.96,,15.97,12.402,2026-08-11
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,Equity,moderate,Mahindra Manulife Mutual Fund,1.69,11.35,12.91,25.8355,2026-08-11
148353,ITI Large Cap Fund - Direct Plan - Growth Option,Equity,moderate,ITI Mutual Fund,3.85,11.98,15.0,19.6803,2026-08-11
148507,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,Equity,moderate,Sundaram Mutual Fund,3.29,9.89,12.87,23.1506,2026-08-11
120656,UTI Large Cap Fund - Direct Plan - Growth Option,Equity,moderate,UTI Mutual Fund,1.26,9.67,13.16,297.9469,2026-08-11
120267,LIC MF Large Cap Fund-Direct Plan-Growth,Equity,moderate,LIC Mutual Fund,0.48,9.84,13.97,62.813,2026-08-11
138312,PGIM India Large Cap Fund - Direct Plan - Growth,Equity,moderate,PGIM India Mutual Fund,2.15,9.39,13.54,406.8,2026-08-11
120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,Equity,moderate,ICICI Prudential Mutual Fund,1.71,13.33,12.77,121.67,2026-08-11
